북악팔각정,"도시,테마공원",서울 성북구 북악산로 267 북악팔각정,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,주차하기 편해요,관리가 잘 되어있어요
의릉,세계문화유산,서울 성북구 화랑로32길 146-37 한국예술종합학교,산책로가 잘 되어있어요,붐비지 않아요,관리가 잘 되어있어요,사진이 잘 나와요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
오동공원,"도시,테마공원",서울 성북구 화랑로13길 144,산책로가 잘 되어있어요,뷰가 좋아요,자연 경관이 좋아요,붐비지 않아요,조용히 쉬기 좋아요
만해한용운심우장,기념물,서울 성북구 성북로29길 24,설명이 잘 되어있어요,사진이 잘 나와요,뷰가 좋아요,볼거리가 많아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
우리옛돌박물관,박물관,서울 성북구 대사관로13길 66,유익해요,전시 구성이 알차요,전시 테마가 재밌어요,공간이 넓어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
간송미술관,박물관,서울 성북구 성북로 102-11 간송미술관,전시 구성이 알차요,유익해요,설명이 잘 되어있어요,전시 테마가 재밌어요,아이와 가기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
성북선잠박물관,박물관,서울 성북구 성북로 96,유익해요,설명이 잘 되어있어요,가격이 합리적이에요,전시 테마가 재밌어요,아이와 가기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
권진규 아틀리에,국가유산,서울 성북구 동소문로26마길 2-15 권진규 아틀리에,관리가 잘 되어있어요,설명이 잘 되어있어요,붐비지 않아요,볼거리가 많아요,가격이 합리적이에요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
삼선공원,근린공원,서울 성북구 삼선교로10바길 34,산책로가 잘 되어있어요,사진이 잘 나와요,가격이 합리적이에요,붐비지 않아요,뷰가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
성북우정의공원,근린공원,서울 성북구 성북동 230-14,뷰가 좋아요,산책로가 잘 되어있어요,먹거리가 풍부해요,관리가 잘 되어있어요,사진이 잘 나와요
성북역사문화공원,"도시,테마공원",서울 성북구 성북동 118-2,뷰가 좋아요,관리가 잘 되어있어요,가격이 합리적이에요,먹거리가 풍부해요,사진이 잘 나와요
-,-,-,-,-,-,-,-
성북동누들거리,먹자거리,서울 성북구 성북동,가격이 합리적이에요,뷰가 좋아요,먹거리가 풍부해요,편의시설이 잘 되어있어요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
성북공원,근린공원,서울 성북구 성북동 168-274,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,관리가 잘 되어있어요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
현대백화점 미아점,백화점,서울 성북구 동소문로 315 현대백화점미아점,친절해요,품질이 좋아요,종류가 다양해요,주차하기 편해요,가성비가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
헬로방방 돌곶이역점,"키즈카페,실내놀이터",서울 성북구 화랑로 248 14층 헬로방방,놀거리가 많아요,매장이 청결해요,가격이 합리적이에요,공간이 넓어요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
성북동빵공장,베이커리,서울 성북구 대사관로 40 B동,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,뷰가 좋아요,인테리어가 멋져요
해로커피,카페,서울 성북구 성북로 19-3,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,대화하기 좋아요
오버스토리,카페,서울 성북구 선잠로2다길 13-13 지하1층,뷰가 좋아요,인테리어가 멋져요,디저트가 맛있어요,커피가 맛있어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
꼬마빌리지 월곡점,"키즈카페,실내놀이터","서울 성북구 월계로 52 성명프라자 5층 502호, 503호",가격이 합리적이에요,친절해요,부모도 쉬기 좋아요,놀거리가 많아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
모블러,카페,서울 성북구 동소문로26다길 26 1층 101호 mobler,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
-,-,-,-,-,-,-,-
프럼크릭,"카페,디저트",서울 성북구 성북로 149-1 프럼크릭,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
노리파크 길음점,"키즈카페,실내놀이터",서울 성북구 길음로13길 24 뉴타운프라자상가 2층,친절해요,가격이 합리적이에요,음식이 맛있어요,놀거리가 많아요,부모도 쉬기 좋아요
-,-,-,-,-,-,-,-
스카이방방존,"키즈카페,실내놀이터",서울 성북구 성북로4길 52 한진아파트 스카이프라자상가 서관 7층,가격이 합리적이에요,놀거리가 많아요,부모도 쉬기 좋아요,친절해요,공간이 넓어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
나폴레옹과자점 본점,베이커리,서울 성북구 성북로 7 나폴레옹과자점,빵이 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,커피가 맛있어요
-,-,-,-,-,-,-,-
