-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
서울 암사동 유적,"유적지,사적지",서울 강동구 올림픽로 875,볼거리가 많아요,사진이 잘 나와요,붐비지 않아요,아이와 가기 좋아요,주차하기 편해요
광나루 한강공원,시민공원,서울 강동구 암사동 659-1,산책로가 잘 되어있어요,뷰가 좋아요,붐비지 않아요,사진이 잘 나와요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
광나루 한강공원,시민공원,서울 강동구 암사동 659-1,산책로가 잘 되어있어요,뷰가 좋아요,붐비지 않아요,사진이 잘 나와요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
암사역사공원,근린공원,서울 강동구 암사동 137-2,뷰가 좋아요,산책로가 잘 되어있어요,편의시설이 잘 되어있어요,관리가 잘 되어있어요,가격이 합리적이에요
-,-,-,-,-,-,-,-
길동생태공원,"자연,생태공원",서울 강동구 천호대로 1291,산책로가 잘 되어있어요,볼거리가 많아요,조용히 쉬기 좋아요,주차하기 편해요,붐비지 않아요
-,-,-,-,-,-,-,-
서울 암사동 유적,"유적지,사적지",서울 강동구 올림픽로 875,볼거리가 많아요,사진이 잘 나와요,붐비지 않아요,아이와 가기 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
길동생태공원,"자연,생태공원",서울 강동구 천호대로 1291,산책로가 잘 되어있어요,볼거리가 많아요,조용히 쉬기 좋아요,주차하기 편해요,붐비지 않아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
천호공원,근린공원,서울 강동구 올림픽로 702 해공도서관,가격이 합리적이에요,산책로가 잘 되어있어요,관리가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요
성내하니공원,근린공원,서울 강동구 성내로3가길 71,방문객이 많아요,산책로가 잘 되어있어요,뷰가 좋아요,볼거리가 많아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
일자산허브천문공원,테마공원,서울 강동구 둔촌동 산86,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
상일동산,근린공원,서울 강동구 상일동,뷰가 좋아요,산책로가 잘 되어있어요,먹거리가 풍부해요,관리가 잘 되어있어요,붐비지 않아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
로라바운스 천호점,"키즈카페,실내놀이터",서울 강동구 올림픽로 664,놀거리가 많아요,공간이 넓어요,매장이 청결해요,테마가 재미있어요,안전하게 관리해요
